tests made after warmup on max laptop performance
Threads: 2 time spent: 1.368 seconds. uniq elements: 500
Threads: 2 time spent: 1.339 seconds. uniq elements: 500
Threads: 2 time spent: 1.406 seconds. uniq elements: 500
Threads: 2 time spent: 1.307 seconds. uniq elements: 500
Threads: 2 time spent: 1.296 seconds. uniq elements: 500
Threads: 2 time spent: 1.454 seconds. uniq elements: 500
Threads: 2 time spent: 1.427 seconds. uniq elements: 500

Threads: 3 time spent: 1.321 seconds. uniq elements: 500
Threads: 3 time spent: 1.415 seconds. uniq elements: 500
Threads: 3 time spent: 1.499 seconds. uniq elements: 500
Threads: 3 time spent: 1.394 seconds. uniq elements: 500
Threads: 3 time spent: 1.433 seconds. uniq elements: 500
Threads: 3 time spent: 1.459 seconds. uniq elements: 500
Threads: 3 time spent: 1.435 seconds. uniq elements: 500
Threads: 3 time spent: 1.498 seconds. uniq elements: 500
Threads: 3 time spent: 1.403 seconds. uniq elements: 500

Threads: 4 time spent: 1.342 seconds. uniq elements: 500
Threads: 4 time spent: 1.484 seconds. uniq elements: 500
Threads: 4 time spent: 1.326 seconds. uniq elements: 500
Threads: 4 time spent: 1.467 seconds. uniq elements: 500
Threads: 4 time spent: 1.328 seconds. uniq elements: 500

Threads: 5 time spent: 1.342 seconds. uniq elements: 500
Threads: 5 time spent: 0.355 seconds. uniq elements: 500
Threads: 5 time spent: 1.299 seconds. uniq elements: 500
Threads: 5 time spent: 1.427 seconds. uniq elements: 500
Threads: 5 time spent: 1.511 seconds. uniq elements: 500
Threads: 5 time spent: 1.382 seconds. uniq elements: 500

Threads: 500 time spent: 0.257 seconds. uniq elements: 500
Threads: 500 time spent: 0.27 seconds. uniq elements: 500
Threads: 500 time spent: 0.31 seconds. uniq elements: 500
Threads: 1000 time spent: 0.261 seconds. uniq elements: 500
Threads: 100 time spent: 0.253 seconds. uniq elements: 500
Threads: 100 time spent: 0.276 seconds. uniq elements: 500
Threads: 50 time spent: 0.293 seconds. uniq elements: 500
Threads: 50 time spent: 0.247 seconds. uniq elements: 500
Threads: 50 time spent: 0.25 seconds. uniq elements: 500
Threads: 50 time spent: 0.272 seconds. uniq elements: 500
Threads: 50 time spent: 0.275 seconds. uniq elements: 500
Threads: 50 time spent: 0.255 seconds. uniq elements: 500
Threads: 50 time spent: 0.358 seconds. uniq elements: 500
Threads: 50 time spent: 0.264 seconds. uniq elements: 500
Threads: 50 time spent: 0.272 seconds. uniq elements: 500
Threads: 10 time spent: 0.296 seconds. uniq elements: 500
Threads: 10 time spent: 0.275 seconds. uniq elements: 500
Threads: 10 time spent: 0.259 seconds. uniq elements: 500
Threads: 10 time spent: 0.272 seconds. uniq elements: 500
Threads: 10 time spent: 0.27 seconds. uniq elements: 500
Threads: 8 time spent: 1.311 seconds. uniq elements: 500
Threads: 8 time spent: 0.267 seconds. uniq elements: 500
Threads: 8 time spent: 0.286 seconds. uniq elements: 500
